adjuster_id,capacity_days,day,claim_id,modality,effective_progress_per_day,productivity_loss_abs,assigned_flag
45899542,1.0,1,,,,,0
45899542,1.0,2,,,,,0
45899542,1.0,3,,,,,0
45899542,1.0,4,,,,,0
45899542,1.0,5,,,,,0
45899542,1.0,6,,,,,0
45899542,1.0,7,,,,,0
45899542,1.0,8,,,,,0
45899542,1.0,9,,,,,0
45899542,1.0,10,,,,,0
45899542,1.0,11,,,,,0
45899542,1.0,12,,,,,0
45899542,1.0,13,,,,,0
45899542,1.0,14,,,,,0
45899542,1.0,15,,,,,0
45899542,1.0,16,,,,,0
45899542,1.0,17,,,,,0
45899542,1.0,18,,,,,0
45899542,1.0,19,,,,,0
45899542,1.0,20,,,,,0
45899542,1.0,21,,,,,0
45899542,1.0,22,,,,,0
45899542,1.0,23,,,,,0
45899542,1.0,24,,,,,0
45899542,1.0,25,,,,,0
45899542,1.0,26,,,,,0
45899542,1.0,27,,,,,0
45899542,1.0,28,,,,,0
45899542,1.0,29,,,,,0
45899542,1.0,30,,,,,0
45899542,1.0,31,,,,,0
45899542,1.0,32,,,,,0
45899542,1.0,33,,,,,0
45899542,1.0,34,,,,,0
45899542,1.0,35,,,,,0
45899542,1.0,36,,,,,0
45899542,1.0,37,,,,,0
45899542,1.0,38,,,,,0
45899542,1.0,39,,,,,0
45899542,1.0,40,,,,,0
45899542,1.0,41,,,,,0
45899542,1.0,42,,,,,0
45899542,1.0,43,,,,,0
45899542,1.0,44,,,,,0
45899542,1.0,45,,,,,0
45899542,1.0,46,,,,,0
45899542,1.0,47,,,,,0
45899542,1.0,48,,,,,0
45899542,1.0,49,,,,,0
45899542,1.0,50,,,,,0
45899542,1.0,51,,,,,0
45899542,1.0,52,,,,,0
45899542,1.0,53,,,,,0
45899542,1.0,54,,,,,0
45899542,1.0,55,,,,,0
45899542,1.0,56,,,,,0
45899542,1.0,57,,,,,0
45899542,1.0,58,,,,,0
45899542,1.0,59,,,,,0
45899542,1.0,60,,,,,0
41040719,1.0,1,,,,,0
41040719,1.0,2,,,,,0
41040719,1.0,3,,,,,0
41040719,1.0,4,,,,,0
41040719,1.0,5,,,,,0
41040719,1.0,6,,,,,0
41040719,1.0,7,,,,,0
41040719,1.0,8,,,,,0
41040719,1.0,9,,,,,0
41040719,1.0,10,,,,,0
41040719,1.0,11,,,,,0
41040719,1.0,12,,,,,0
41040719,1.0,13,,,,,0
41040719,1.0,14,,,,,0
41040719,1.0,15,,,,,0
41040719,1.0,16,,,,,0
41040719,1.0,17,,,,,0
41040719,1.0,18,,,,,0
41040719,1.0,19,,,,,0
41040719,1.0,20,,,,,0
41040719,1.0,21,,,,,0
41040719,1.0,22,,,,,0
41040719,1.0,23,,,,,0
41040719,1.0,24,,,,,0
41040719,1.0,25,,,,,0
41040719,1.0,26,,,,,0
41040719,1.0,27,,,,,0
41040719,1.0,28,,,,,0
41040719,1.0,29,,,,,0
41040719,1.0,30,,,,,0
41040719,1.0,31,,,,,0
41040719,1.0,32,,,,,0
41040719,1.0,33,,,,,0
41040719,1.0,34,,,,,0
41040719,1.0,35,,,,,0
41040719,1.0,36,,,,,0
41040719,1.0,37,,,,,0
41040719,1.0,38,,,,,0
41040719,1.0,39,,,,,0
41040719,1.0,40,,,,,0
41040719,1.0,41,,,,,0
41040719,1.0,42,,,,,0
41040719,1.0,43,,,,,0
41040719,1.0,44,,,,,0
41040719,1.0,45,,,,,0
41040719,1.0,46,,,,,0
41040719,1.0,47,,,,,0
41040719,1.0,48,,,,,0
41040719,1.0,49,,,,,0
41040719,1.0,50,,,,,0
41040719,1.0,51,,,,,0
41040719,1.0,52,,,,,0
41040719,1.0,53,,,,,0
41040719,1.0,54,,,,,0
41040719,1.0,55,,,,,0
41040719,1.0,56,,,,,0
41040719,1.0,57,,,,,0
41040719,1.0,58,,,,,0
41040719,1.0,59,,,,,0
41040719,1.0,60,,,,,0
92150926,1.0,1,,,,,0
92150926,1.0,2,,,,,0
92150926,1.0,3,,,,,0
92150926,1.0,4,,,,,0
92150926,1.0,5,,,,,0
92150926,1.0,6,,,,,0
92150926,1.0,7,,,,,0
92150926,1.0,8,,,,,0
92150926,1.0,9,,,,,0
92150926,1.0,10,,,,,0
92150926,1.0,11,,,,,0
92150926,1.0,12,,,,,0
92150926,1.0,13,,,,,0
92150926,1.0,14,,,,,0
92150926,1.0,15,,,,,0
92150926,1.0,16,,,,,0
92150926,1.0,17,,,,,0
92150926,1.0,18,,,,,0
92150926,1.0,19,,,,,0
92150926,1.0,20,,,,,0
92150926,1.0,21,,,,,0
92150926,1.0,22,,,,,0
92150926,1.0,23,,,,,0
92150926,1.0,24,,,,,0
92150926,1.0,25,,,,,0
92150926,1.0,26,,,,,0
92150926,1.0,27,,,,,0
92150926,1.0,28,,,,,0
92150926,1.0,29,,,,,0
92150926,1.0,30,,,,,0
92150926,1.0,31,,,,,0
92150926,1.0,32,,,,,0
92150926,1.0,33,,,,,0
92150926,1.0,34,,,,,0
92150926,1.0,35,,,,,0
92150926,1.0,36,,,,,0
92150926,1.0,37,,,,,0
92150926,1.0,38,,,,,0
92150926,1.0,39,,,,,0
92150926,1.0,40,,,,,0
92150926,1.0,41,,,,,0
92150926,1.0,42,,,,,0
92150926,1.0,43,,,,,0
92150926,1.0,44,,,,,0
92150926,1.0,45,,,,,0
92150926,1.0,46,,,,,0
92150926,1.0,47,,,,,0
92150926,1.0,48,,,,,0
92150926,1.0,49,,,,,0
92150926,1.0,50,,,,,0
92150926,1.0,51,,,,,0
92150926,1.0,52,,,,,0
92150926,1.0,53,,,,,0
92150926,1.0,54,,,,,0
92150926,1.0,55,,,,,0
92150926,1.0,56,,,,,0
92150926,1.0,57,,,,,0
92150926,1.0,58,,,,,0
92150926,1.0,59,,,,,0
92150926,1.0,60,,,,,0
44312033,1.0,1,,,,,0
44312033,1.0,2,,,,,0
44312033,1.0,3,,,,,0
44312033,1.0,4,,,,,0
44312033,1.0,5,,,,,0
44312033,1.0,6,,,,,0
44312033,1.0,7,,,,,0
44312033,1.0,8,,,,,0
44312033,1.0,9,,,,,0
44312033,1.0,10,,,,,0
44312033,1.0,11,,,,,0
44312033,1.0,12,,,,,0
44312033,1.0,13,,,,,0
44312033,1.0,14,,,,,0
44312033,1.0,15,,,,,0
44312033,1.0,16,,,,,0
44312033,1.0,17,,,,,0
44312033,1.0,18,,,,,0
44312033,1.0,19,,,,,0
44312033,1.0,20,,,,,0
44312033,1.0,21,,,,,0
44312033,1.0,22,,,,,0
44312033,1.0,23,,,,,0
44312033,1.0,24,,,,,0
44312033,1.0,25,,,,,0
44312033,1.0,26,,,,,0
44312033,1.0,27,,,,,0
44312033,1.0,28,,,,,0
44312033,1.0,29,,,,,0
44312033,1.0,30,,,,,0
44312033,1.0,31,,,,,0
44312033,1.0,32,,,,,0
44312033,1.0,33,,,,,0
44312033,1.0,34,,,,,0
44312033,1.0,35,,,,,0
44312033,1.0,36,,,,,0
44312033,1.0,37,,,,,0
44312033,1.0,38,,,,,0
44312033,1.0,39,,,,,0
44312033,1.0,40,,,,,0
44312033,1.0,41,,,,,0
44312033,1.0,42,,,,,0
44312033,1.0,43,,,,,0
44312033,1.0,44,,,,,0
44312033,1.0,45,,,,,0
44312033,1.0,46,,,,,0
44312033,1.0,47,,,,,0
44312033,1.0,48,,,,,0
44312033,1.0,49,,,,,0
44312033,1.0,50,,,,,0
44312033,1.0,51,,,,,0
44312033,1.0,52,,,,,0
44312033,1.0,53,,,,,0
44312033,1.0,54,,,,,0
44312033,1.0,55,,,,,0
