claim_id,claim_type,severity,arrival_date,arrival_day,due_date,due_day,sla_days,onsite,online,lat,lon,cluster_id,completed,completion_day,days_to_complete,completed_on_time,total_workdays,n_adjusters_used,total_effective_progress
25266097,personal,3,2023-12-10,2,2023-12-31,23,21,True,False,33.4653,-86.8082,8,True,17.0,16.0,True,1.0,1.0,2.0
86498344,personal,5,2023-12-10,2,2023-12-17,9,7,True,False,33.4653,-86.8082,8,True,9.0,8.0,True,5.0,4.0,1.0
11851998,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,33.4459,-86.7502,8,True,10.0,8.0,True,8.0,4.0,1.0
15735237,personal,2,2023-12-21,13,2024-01-18,41,28,False,True,34.7561,-87.6304,8,True,36.0,24.0,True,1.0,1.0,2.5
50814161,personal,3,2023-12-10,2,2023-12-31,23,21,True,False,33.9382,-84.5403,5,True,23.0,22.0,True,1.0,1.0,2.0
77500327,personal,3,2023-12-22,14,2024-01-12,35,21,True,False,33.8796,-84.5023,5,True,35.0,22.0,True,1.0,1.0,2.0
16556769,personal,3,2023-12-20,12,2024-01-10,33,21,True,False,34.256,-90.6348,4,True,33.0,22.0,True,1.0,1.0,2.0
34612411,personal,3,2023-12-27,19,2024-01-17,40,21,True,False,34.256,-90.6348,4,True,40.0,22.0,True,1.0,1.0,2.0
70724497,personal,1,2023-12-11,3,2024-01-08,31,28,False,True,33.468,-87.0924,8,True,31.0,29.0,True,1.0,1.0,3.003003003003003
91148787,business,4,2023-12-13,5,2023-12-27,19,14,True,False,33.4653,-86.8082,8,True,16.0,12.0,True,2.0,2.0,1.5003750937734435
38219062,business,4,2023-12-10,2,2023-12-24,16,14,True,False,33.4653,-86.8082,8,True,14.0,13.0,True,1.0,1.0,1.0
80622748,business,3,2023-12-11,3,2024-01-01,24,21,True,False,33.506,-86.893,8,True,24.0,22.0,True,1.0,1.0,2.0
68884875,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,33.5066,-86.7428,8,True,10.0,8.0,True,5.0,4.0,1.125
39099817,personal,5,2023-12-10,2,2023-12-17,9,7,True,False,33.4459,-86.7502,8,True,9.0,8.0,True,6.0,5.0,1.0
61420255,personal,2,2023-12-10,2,2024-01-07,30,28,False,True,33.3967,-86.8346,8,True,26.0,25.0,True,1.0,1.0,2.5
91518992,personal,2,2023-12-10,2,2024-01-07,30,28,True,False,33.1934,-86.7944,8,True,28.0,27.0,True,1.0,1.0,2.5
87944301,personal,1,2023-12-10,2,2024-01-07,30,28,False,True,33.4653,-86.8082,8,True,29.0,28.0,True,1.0,1.0,3.003003003003003
56237691,personal,3,2023-12-10,2,2023-12-31,23,21,True,False,33.3813,-86.7046,8,True,16.0,15.0,True,1.0,1.0,2.0
23601340,personal,2,2023-12-11,3,2024-01-08,31,28,False,True,33.4995,-86.7268,8,True,31.0,29.0,True,1.0,1.0,2.5
21927237,personal,4,2023-12-11,3,2023-12-25,17,14,True,False,33.5283,-86.5748,8,True,12.0,10.0,True,1.0,1.0,1.0
16490446,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,33.4653,-86.8082,8,True,10.0,8.0,True,8.0,6.0,1.0
28507914,personal,5,2023-12-11,3,2023-12-18,10,7,True,False,33.5179,-86.8372,8,True,10.0,8.0,True,8.0,4.0,1.0
18220423,personal,3,2023-12-11,3,2024-01-01,24,21,True,False,33.4188,-86.7867,8,True,21.0,19.0,True,1.0,1.0,2.0
24373649,personal,3,2023-12-11,3,2024-01-01,24,21,True,False,33.4653,-86.8082,8,True,21.0,19.0,True,1.0,1.0,2.0
17641361,personal,3,2023-12-12,4,2024-01-02,25,21,False,True,34.048,-85.9246,8,True,23.0,20.0,True,1.0,1.0,2.0
85132818,personal,5,2023-12-12,4,2023-12-19,11,7,True,False,33.4523,-86.8935,8,True,11.0,8.0,True,5.0,4.0,1.125
74345842,personal,1,2023-12-12,4,2024-01-09,32,28,False,True,33.4188,-86.7867,8,True,32.0,29.0,True,1.0,1.0,3.003003003003003
73510252,personal,3,2023-12-12,4,2024-01-02,25,21,False,True,33.4653,-86.8082,8,True,15.0,12.0,True,1.0,1.0,2.0
38858223,personal,3,2023-12-12,4,2024-01-02,25,21,False,True,33.4995,-86.7268,8,True,24.0,21.0,True,1.0,1.0,2.0
14733569,personal,3,2023-12-13,5,2024-01-03,26,21,True,False,33.2663,-86.902,8,True,26.0,22.0,True,1.0,1.0,2.0
82499615,personal,1,2023-12-13,5,2024-01-10,33,28,False,True,33.3967,-86.8346,8,True,33.0,29.0,True,1.0,1.0,3.003003003003003
46063759,personal,4,2023-12-13,5,2023-12-27,19,14,True,False,33.3813,-86.7046,8,True,12.0,8.0,True,1.0,1.0,1.0
82005893,personal,3,2023-12-13,5,2024-01-03,26,21,False,True,33.4653,-86.8082,8,True,26.0,22.0,True,1.0,1.0,2.0
