cluster_id,cluster_name,cluster_abbrev,base_label,centroid_lat,centroid_lon,n_claims
0,Cluster 0,CLU-0,Cluster 0,36.31973663366337,-86.57478415841584,202
1,Cluster 1,CLU-1,Cluster 1,40.16258194444444,-75.20979166666666,72
10,Cluster 10,CLU-10,Cluster 10,40.73238775510204,-73.9766775510204,49
11,Cluster 11,CLU-11,Cluster 11,31.552062499999998,-82.166125,8
12,Cluster 12,CLU-12,Cluster 12,35.93078181818182,-84.0071,11
13,Cluster 13,CLU-13,Cluster 13,39.317740425531916,-76.58035319148937,47
14,Cluster 14,CLU-14,Cluster 14,32.68827368421052,-90.99701052631579,19
15,Cluster 15,CLU-15,Cluster 15,36.568123880597014,-87.40697089552239,134
16,Cluster 16,CLU-16,Cluster 16,43.07255,-78.10485,2
17,Cluster 17,CLU-17,Cluster 17,42.190085714285715,-71.30813214285715,28
18,Cluster 18,CLU-18,Cluster 18,42.743457142857146,-74.00438571428572,7
19,Cluster 19,CLU-19,Cluster 19,41.49035,-75.69306666666667,6
2,Cluster 2,CLU-2,Cluster 2,37.439225925925925,-77.39661296296296,54
20,Cluster 20,CLU-20,Cluster 20,35.2095,-86.08595,2
21,Cluster 21,CLU-21,Cluster 21,33.4737,-82.0131,1
22,Cluster 22,CLU-22,Cluster 22,31.935575,-85.825975,4
23,Cluster 23,CLU-23,Cluster 23,35.87103333333334,-82.50670000000001,3
24,Cluster 24,CLU-24,Cluster 24,37.044650000000004,-79.7221,2
25,Cluster 25,CLU-25,Cluster 25,35.24693333333334,-88.44106666666666,6
26,Cluster 26,CLU-26,Cluster 26,32.1796,-89.43945,2
27,Cluster 27,CLU-27,Cluster 27,40.4001,-80.0462,1
28,Cluster 28,CLU-28,Cluster 28,31.503833333333333,-83.67746666666666,3
29,Cluster 29,CLU-29,Cluster 29,38.31855,-85.52125000000001,2
3,Cluster 3,CLU-3,Cluster 3,35.415279545454545,-80.6323840909091,44
30,Cluster 30,CLU-30,Cluster 30,36.7978,-76.1759,1
4,Cluster 4,CLU-4,Cluster 4,34.46633793103449,-90.26020689655172,29
5,Cluster 5,CLU-5,Cluster 5,33.805605769230766,-84.34848653846153,52
6,Cluster 6,CLU-6,Cluster 6,41.51744333333333,-72.79803333333332,60
7,Cluster 7,CLU-7,Cluster 7,38.76112528735632,-77.08254712643678,87
8,Cluster 8,CLU-8,Cluster 8,33.48068024691358,-86.79332098765433,81
9,Cluster 9,CLU-9,Cluster 9,35.79997674418605,-78.83232790697674,43
