cluster_id,centroid_lat,centroid_lon,n_claims,cluster_state,cluster_state_name,cluster_state_num,cluster_name,cluster_abbrev
22,32.1392,-85.59906666666666,4,AL,Alabama,1,AL-1,AL-1
8,33.95757002021748,-86.84730167673587,81,AL,Alabama,2,AL-2,AL-2
6,41.60616748281011,-72.74225647629704,60,CT,Connecticut,1,CT-1,CT-1
11,31.336877122868973,-82.35847327430446,8,GA,Georgia,1,GA-1,GA-1
21,33.4737,-82.0131,1,GA,Georgia,2,GA-2,GA-2
28,31.503833333333333,-83.67746666666666,3,GA,Georgia,3,GA-3,GA-3
5,33.608877402811935,-84.1213564275403,52,GA,Georgia,4,GA-4,GA-4
29,38.31855,-85.52125000000001,2,KY,Kentucky,1,KY-1,KY-1
14,32.37469443718829,-91.01544910888651,19,LA,Louisiana,1,LA-1,LA-1
17,42.17726008766121,-71.39114214676937,28,MA,Massachusetts,1,MA-1,MA-1
13,39.54766662858832,-76.51364671331196,47,MD,Maryland,1,MD-1,MD-1
26,32.1796,-89.43945,2,MS,Mississippi,1,MS-1,MS-1
4,34.66443682751926,-90.03214526831593,29,MS,Mississippi,2,MS-2,MS-2
23,35.87103333333333,-82.50670000000001,3,NC,North Carolina,1,NC-1,NC-1
3,35.53370191420903,-80.60085514440162,44,NC,North Carolina,2,NC-2,NC-2
9,35.92826387743513,-78.97159421013184,43,NC,North Carolina,3,NC-3,NC-3
10,40.67308528564157,-73.97443196833073,49,NY,New York,1,NY-1,NY-1
16,43.07255,-78.10485,2,NY,New York,2,NY-2,NY-2
18,42.72836143793304,-74.25119352973365,7,NY,New York,3,NY-3,NY-3
1,40.254426832636724,-75.18937480255242,72,PA,Pennsylvania,1,PA-1,PA-1
19,41.591260814857556,-75.73931467622737,6,PA,Pennsylvania,2,PA-2,PA-2
27,40.4001,-80.0462,1,PA,Pennsylvania,3,PA-3,PA-3
0,36.1835170482692,-86.46179343084556,202,TN,Tennessee,1,TN-1,TN-1
12,35.89889810359673,-83.85107226639195,11,TN,Tennessee,2,TN-2,TN-2
15,36.533566666666665,-87.62556666666667,134,TN,Tennessee,3,TN-3,TN-3
20,35.2095,-86.08595,2,TN,Tennessee,4,TN-4,TN-4
25,35.163389570655156,-88.44939750333847,6,TN,Tennessee,5,TN-5,TN-5
2,37.46274160245177,-77.46031503524283,54,VA,Virginia,1,VA-1,VA-1
24,37.044650000000004,-79.7221,2,VA,Virginia,2,VA-2,VA-2
30,36.7978,-76.1759,1,VA,Virginia,3,VA-3,VA-3
7,38.73902715767614,-77.2725716246339,87,VA,Virginia,4,VA-4,VA-4
