claim_id,completed,severity,arrival_day,due_day,onsite,online,cluster_id,w,first_work_day,last_work_day,total_workdays,n_adjusters_used,total_effective_progress,total_base_progress,total_productivity_loss,completion_day,days_to_complete,completed_on_time
10147967,True,4,7,21,True,False,8,4.0,14.0,14.0,2.0,2.0,1.5003750937734435,1.5003750937734435,0.0,14.0,8.0,True
10290631,True,3,4,25,False,True,10,3.0,23.0,23.0,1.0,1.0,2.0,2.0,0.0,23.0,20.0,True
10341659,True,1,3,31,False,True,15,1.0,31.0,31.0,1.0,1.0,3.003003003003003,3.003003003003003,0.0,31.0,29.0,True
10391891,True,3,2,23,True,False,0,3.0,21.0,21.0,1.0,1.0,2.0,2.0,0.0,21.0,20.0,True
10419250,True,3,3,24,True,False,0,3.0,19.0,19.0,1.0,1.0,2.0,2.0,0.0,19.0,17.0,True
10611609,True,2,6,34,True,False,5,2.0,34.0,34.0,1.0,1.0,2.5,2.5,0.0,34.0,29.0,True
10660194,True,4,3,17,True,False,1,4.0,13.0,13.0,1.0,1.0,1.0,1.0,0.0,13.0,11.0,True
10703530,True,5,2,9,True,False,7,5.0,2.0,9.0,7.0,3.0,1.0,1.0,0.0,9.0,8.0,True
10771991,True,5,3,10,True,False,7,5.0,4.0,10.0,6.0,4.0,1.0,1.0,0.0,10.0,8.0,True
10892619,True,4,3,17,True,False,6,4.0,14.0,17.0,3.0,3.0,1.0001875468867216,1.0001875468867216,0.0,17.0,15.0,True
10941562,True,3,2,23,True,False,0,3.0,18.0,18.0,1.0,1.0,2.0,2.0,0.0,18.0,17.0,True
11098869,True,1,10,38,False,True,0,1.0,37.0,37.0,1.0,1.0,3.003003003003003,3.003003003003003,0.0,37.0,28.0,True
11362451,True,5,3,10,True,False,1,5.0,6.0,7.0,4.0,4.0,1.0,1.0,0.0,7.0,5.0,True
11367941,True,2,5,33,False,True,8,2.0,26.0,26.0,1.0,1.0,2.5,2.5,0.0,26.0,22.0,True
11479317,True,5,5,12,True,False,13,5.0,7.0,12.0,7.0,4.0,1.05,1.75,0.7000000000000001,12.0,8.0,True
11637019,True,5,2,9,True,False,10,5.0,2.0,9.0,8.0,4.0,1.0,1.0,0.0,9.0,8.0,True
11689329,True,5,3,10,True,False,1,5.0,3.0,10.0,4.0,4.0,1.0,1.0,0.0,10.0,8.0,True
11738311,True,3,2,23,True,False,0,3.0,19.0,19.0,1.0,1.0,2.0,2.0,0.0,19.0,18.0,True
11851998,True,5,3,10,True,False,8,5.0,3.0,10.0,8.0,4.0,1.0,1.0,0.0,10.0,8.0,True
11928202,True,1,6,34,False,True,15,1.0,32.0,32.0,1.0,1.0,3.003003003003003,3.003003003003003,0.0,32.0,27.0,True
11928999,True,3,2,23,True,False,21,3.0,22.0,22.0,1.0,1.0,1.4992503748125936,1.4992503748125936,0.0,22.0,21.0,True
12024718,True,5,3,10,True,False,2,5.0,3.0,9.0,7.0,6.0,1.0,1.0,0.0,9.0,7.0,True
12044608,True,3,11,32,True,False,8,3.0,25.0,25.0,1.0,1.0,2.0,2.0,0.0,25.0,15.0,True
12088234,True,3,19,40,False,True,14,3.0,36.0,36.0,1.0,1.0,2.0,2.0,0.0,36.0,18.0,True
12102960,True,5,4,11,True,False,13,5.0,5.0,11.0,6.0,4.0,1.0,1.0,0.0,11.0,8.0,True
12343114,True,5,2,9,True,False,0,5.0,3.0,9.0,6.0,3.0,1.125,1.125,0.0,9.0,8.0,True
12449108,True,5,4,11,True,False,17,5.0,6.0,11.0,8.0,4.0,1.0,1.0,0.0,11.0,8.0,True
12509957,True,3,3,24,True,False,0,3.0,24.0,24.0,1.0,1.0,2.0,2.0,0.0,24.0,22.0,True
12562183,True,3,4,25,False,True,0,3.0,23.0,23.0,1.0,1.0,2.0,2.0,0.0,23.0,20.0,True
12656013,True,3,2,23,True,False,15,3.0,19.0,19.0,1.0,1.0,2.0,2.0,0.0,19.0,18.0,True
12868813,True,5,4,11,True,False,3,5.0,5.0,11.0,10.0,4.0,1.1,1.375,0.2749999999999999,11.0,8.0,True
12903742,True,3,7,28,False,True,0,3.0,28.0,28.0,1.0,1.0,2.0,2.0,0.0,28.0,22.0,True
12909340,True,4,4,18,True,False,1,4.0,18.0,18.0,1.0,1.0,1.0,1.0,0.0,18.0,15.0,True
13109340,True,5,4,11,True,False,13,5.0,8.0,11.0,4.0,4.0,1.0,1.0,0.0,11.0,8.0,True
13124031,True,5,7,14,True,False,19,5.0,7.0,11.0,8.0,2.0,1.0,1.0,0.0,11.0,5.0,True
13198214,True,4,3,17,True,False,7,4.0,15.0,15.0,2.0,2.0,1.5003750937734435,1.5003750937734435,0.0,15.0,13.0,True
13213973,True,4,3,17,True,False,2,4.0,16.0,16.0,1.0,1.0,1.0,1.0,0.0,16.0,14.0,True
13376386,True,3,1,22,False,True,0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,True
13637202,True,5,1,8,True,False,15,5.0,1.0,5.0,6.0,6.0,1.0,1.0,0.0,5.0,5.0,True
13766694,True,4,3,17,True,False,19,4.0,17.0,17.0,2.0,2.0,1.5003750937734435,1.5003750937734435,0.0,17.0,15.0,True
13828931,True,3,3,24,True,False,15,3.0,23.0,23.0,1.0,1.0,2.0,2.0,0.0,23.0,21.0,True
13851832,True,4,1,15,True,False,15,4.0,15.0,15.0,1.0,1.0,1.0,1.0,0.0,15.0,15.0,True
13989168,True,3,20,41,True,False,13,3.0,32.0,32.0,1.0,1.0,2.0,2.0,0.0,32.0,13.0,True
14016899,True,3,12,33,False,True,0,3.0,33.0,33.0,1.0,1.0,2.0,2.0,0.0,33.0,22.0,True
14117027,True,4,3,17,True,False,6,4.0,12.0,16.0,3.0,2.0,1.0001875468867216,1.0001875468867216,0.0,16.0,14.0,True
14182432,True,3,2,23,True,False,2,3.0,21.0,21.0,1.0,1.0,2.0,2.0,0.0,21.0,20.0,True
14256954,True,4,3,17,True,False,17,4.0,10.0,10.0,2.0,2.0,1.5003750937734435,1.5003750937734435,0.0,10.0,8.0,True
14421545,True,3,11,32,False,True,0,3.0,27.0,27.0,1.0,1.0,2.0,2.0,0.0,27.0,17.0,True
14427676,True,2,3,31,True,False,6,2.0,27.0,27.0,1.0,1.0,2.5,2.5,0.0,27.0,25.0,True
14684874,True,4,3,17,True,False,13,4.0,16.0,16.0,1.0,1.0,1.0,1.0,0.0,16.0,14.0,True
14733569,True,3,5,26,True,False,8,3.0,26.0,26.0,1.0,1.0,2.0,2.0,0.0,26.0,22.0,True
14829022,True,2,2,30,True,False,8,2.0,21.0,21.0,1.0,1.0,2.5,2.5,0.0,21.0,20.0,True
14912519,True,2,3,31,True,False,9,2.0,31.0,31.0,1.0,1.0,2.5,2.5,0.0,31.0,29.0,True
15011884,True,5,20,27,True,False,7,5.0,26.0,27.0,4.0,3.0,1.0,1.0,0.0,27.0,8.0,True
15132122,True,3,2,23,True,False,5,3.0,22.0,22.0,1.0,1.0,2.0,2.0,0.0,22.0,21.0,True
15194864,True,4,4,18,True,False,1,4.0,14.0,14.0,1.0,1.0,1.0,1.0,0.0,14.0,11.0,True
15202372,True,4,3,17,True,False,1,4.0,12.0,12.0,2.0,2.0,1.5003750937734435,1.5003750937734435,0.0,12.0,10.0,True
15394782,True,5,1,8,True,False,0,5.0,1.0,7.0,6.0,3.0,1.0,1.0,0.0,7.0,7.0,True
15400518,True,5,3,10,True,False,0,5.0,4.0,10.0,6.0,6.0,1.0,1.0,0.0,10.0,8.0,True
15438252,True,3,6,27,True,False,5,3.0,27.0,27.0,1.0,1.0,2.0,2.0,0.0,27.0,22.0,True
15522364,True,4,3,17,True,False,5,4.0,15.0,15.0,1.0,1.0,1.0,1.0,0.0,15.0,13.0,True
15591198,True,3,8,29,False,True,4,3.0,26.0,26.0,1.0,1.0,2.0,2.0,0.0,26.0,19.0,True
15620237,True,1,3,31,False,True,15,1.0,25.0,25.0,1.0,1.0,3.003003003003003,3.003003003003003,0.0,25.0,23.0,True
15670276,True,3,3,24,True,False,0,3.0,24.0,24.0,1.0,1.0,2.0,2.0,0.0,24.0,22.0,True
15735237,True,2,13,41,False,True,8,2.0,36.0,36.0,1.0,1.0,2.5,2.5,0.0,36.0,24.0,True
15822139,True,3,2,23,True,False,0,3.0,18.0,18.0,1.0,1.0,2.0,2.0,0.0,18.0,17.0,True
16182279,True,3,4,25,True,False,6,3.0,23.0,23.0,1.0,1.0,2.0,2.0,0.0,23.0,20.0,True
16273803,True,1,12,40,False,True,14,1.0,34.0,34.0,1.0,1.0,3.003003003003003,3.003003003003003,0.0,34.0,23.0,True
16376540,True,3,3,24,True,False,7,3.0,14.0,14.0,1.0,1.0,2.0,2.0,0.0,14.0,12.0,True
16403894,True,3,2,23,True,False,15,3.0,19.0,19.0,1.0,1.0,2.0,2.0,0.0,19.0,18.0,True
16431008,True,2,1,29,True,False,4,2.0,1.0,1.0,1.0,1.0,2.5,2.5,0.0,1.0,1.0,True
16490446,True,5,3,10,True,False,8,5.0,3.0,10.0,8.0,6.0,1.0,1.0,0.0,10.0,8.0,True
16536910,True,3,4,25,True,False,17,3.0,22.0,22.0,1.0,1.0,2.0,2.0,0.0,22.0,19.0,True
16556769,True,3,12,33,True,False,4,3.0,33.0,33.0,1.0,1.0,2.0,2.0,0.0,33.0,22.0,True
16728333,True,4,5,19,True,False,6,4.0,19.0,19.0,2.0,2.0,1.5003750937734435,1.5003750937734435,0.0,19.0,15.0,True
16791897,True,3,3,24,True,False,3,3.0,24.0,24.0,1.0,1.0,2.0,2.0,0.0,24.0,22.0,True
16849071,True,3,3,24,True,False,7,3.0,24.0,24.0,1.0,1.0,2.0,2.0,0.0,24.0,22.0,True
16864876,True,2,6,34,False,True,12,2.0,26.0,26.0,1.0,1.0,2.5,2.5,0.0,26.0,21.0,True
16947841,True,2,3,31,True,False,15,2.0,27.0,27.0,1.0,1.0,2.5,2.5,0.0,27.0,25.0,True
17022546,True,3,3,24,False,True,0,3.0,14.0,14.0,1.0,1.0,2.0,2.0,0.0,14.0,12.0,True
17090145,True,4,2,16,True,False,8,4.0,12.0,12.0,1.0,1.0,1.0,1.0,0.0,12.0,11.0,True
17128602,True,4,18,32,True,False,3,4.0,20.0,28.0,2.0,1.0,2.0,2.0,0.0,28.0,11.0,True
17398355,True,3,6,27,True,False,14,3.0,22.0,22.0,1.0,1.0,1.2,2.0,0.8,22.0,17.0,True
17532639,True,5,3,10,True,False,13,5.0,4.0,8.0,5.0,5.0,1.0,1.0,0.0,8.0,6.0,True
17573177,True,3,3,24,False,True,8,3.0,20.0,20.0,1.0,1.0,2.0,2.0,0.0,20.0,18.0,True
17574155,True,5,2,9,True,False,8,5.0,2.0,9.0,5.0,5.0,1.0,1.0,0.0,9.0,8.0,True
17594035,True,3,8,29,False,True,4,3.0,26.0,26.0,1.0,1.0,2.0,2.0,0.0,26.0,19.0,True
17641361,True,3,4,25,False,True,8,3.0,23.0,23.0,1.0,1.0,2.0,2.0,0.0,23.0,20.0,True
17685121,True,2,3,31,False,True,17,2.0,31.0,31.0,1.0,1.0,2.5,2.5,0.0,31.0,29.0,True
17992581,True,5,3,10,True,False,13,5.0,3.0,10.0,5.0,4.0,1.0,1.0,0.0,10.0,8.0,True
